Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier
Time Series Analysis of Surface EMG Signal - Linear, Non Linear and Chaotic Approaches;"M. S. Singh; R. Pasumarthy; V. Talasila";"Department of Electrical Engineering, IIT Madras, India; Department of Electrical Engineering, IIT Madras, India; Telecom Engineering Department, Ramaiah Institute of Technology, Bangalore, India";2019 Fifth Indian Control Conference (ICC);16 May 2019;2019;;;442;447;"EMG data analysis forms a crucial part of clinical diagnosis in patients suffering from movement disorders. Any movement involves a synchronized use of agonist and antagonist muscles. In patients suffering from movement disorders, this coordination between different groups of muscles can be a problem. EMG data is used to study muscle activity; and the measurements are significantly noisy. To study a complex movement, one needs to derive useful models from the EMG data (for different muscle groups). In this paper we present a detailed analysis of surface EMG signals from the perspective of linear segmentation, non-linear and chaotic approaches. Comparisons of the linear regression models of surface EMG suggest the ARIMA model to be the best. A chaotic analysis of surface emg signal to determine the maximum lyaopunov exponent, the embedding dimension and time lag has been discussed in the later part of the paper. The EMG signal is found to follow high dimensional chaotic dynamics from the positive value of the Maximum Lyapunov Exponent.";;978-1-5386-6246-5;10.1109/INDIANCC.2019.8715550;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8715550;;"Electromyography;Muscles;Mathematical model;Linear regression;Computational modeling;Probability density function;Gaussian distribution";;2;;19;IEEE;16 May 2019;;;IEEE;IEEE Conferences
Feature selection for myoelectric pattern recognition using two channel surface electromyography signals;"O. S. Powar; K. Chemmangat";"Department of Electrical and Electronics Engineering, National Institute of Technology Karnataka, Surathkal, Mangalore, India; Department of Electrical and Electronics Engineering, National Institute of Technology Karnataka, Surathkal, Mangalore, India";TENCON 2017 - 2017 IEEE Region 10 Conference;21 Dec 2017;2017;;;1022;1026;Pattern recognition scheme is used for discriminating various classes of hand motion with feature extracted from the surface electromyography signals. However, while using a relatively large feature set for classification process, the computational complexity increases tremendously. To overcome this, the paper implements feature selection technique using wrapper evaluation and four different search methods without significantly affecting the classification accuracy. The performance of the features is tested on surface electromyography data collected from seven subjects, with eight classes of movements. Practical results indicate that using feature selection methods can achieve the same accuracy with lesser number of features.;2159-3450;978-1-5090-1134-6;10.1109/TENCON.2017.8228007;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8228007;;"Feature extraction;Electromyography;Search methods;Pattern recognition;Testing;Conferences";;3;;10;IEEE;21 Dec 2017;;;IEEE;IEEE Conferences
Individual hand motion classification through EMG pattern recognition: Supervise and unsupervised methods;"C. Castiblanco; C. Parra; J. Colorado";"School of Electronic Engineering, Pontificia Universidad Javeriana, Bogota, Colombia; Catalina Alvarado, Pontificia Universidad Javeriana, Bogota, Colombia; Pontificia Universidad Javeriana, Bogota, Colombia";2016 XXI Symposium on Signal Processing, Images and Artificial Vision (STSIVA);17. Nov 16;2016;;;1;6;The EMG signals are being used in electronic systems with biofeedback control for tracking and classifying of hand motion. These systems present a challenge in identifying the movement due to the variation of the EMG signals between subjects, therefore different pattern recognition techniques have been implemented to overcome this challenge. In response to the previous problem, the present study compares the performance of both K - means and SVM methods to identify five individual movements of the hand. Therefore two techniques of classification were implemented, the first one consist of classifying the movements individually. while the second classifies all five movements through technic based on decision trees. Also this paper analyses the influence of the signal normalization over the performance of the classification. In general, SVM classifier performed better against K - means in the two tests with the error percentage below 9%.;2329-6259;978-1-5090-3797-1;10.1109/STSIVA.2016.7743339;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7743339;;"Support vector machines;Electromyography;Feature extraction;Pattern recognition;Training;Muscles;Standards";;6;;14;IEEE;17. Nov 16;;;IEEE;IEEE Conferences
Analysis of surface EMG with apparent movement of tactile sense;"Young-il Park; M. Uchida";"Graduate of Electro-Communications, University of Electro-Communications, Tokyo, Japan; Graduate of Electro-Communications, University of Electro-Communications, Tokyo, Japan";2009 ICCAS-SICE;13. Nov 09;2009;;;2139;2143;It is necessary to take the apparent movement recognition quantitatively, objectively and simply and definitely to design the tactile display of touch sensor which used the apparent movement. In previous paper, we reported the possibility that the characteristic movement of a body site was produced when we presented the apparent movement to the subjects who were in the experiment environment, keeping the body specific condition. In this study, we analyze and verify the muscle activity related to the swinging motion of the body site with EMG. Originally, the apparent movement is a movement sense (illusion). Therefore, we interpret that the subjects present reaction to resist it when the subjects recognize the apparent movement and feel that his body site is tempted by the movement of this stimulation image. In this study, we used the feature extraction related to the biological reaction when recognizing the apparent movement by the technique that put STFT and cluster analysis together as analysis object for a low level ingredient of EMG which treated an envelope curve. In the experiment, we instructed the subjects to maintain their arms in a horizontal position with putting one by one in total four oscillators between the fingers of the left hand. In addition, the subjects click a mouse instead of pushing a button when recognizing the apparent movement. As a result, we could confirm the effectiveness of the suggestion technique, and the objective technique of the apparent movement recognition was enabled by measuring the activity of the deltoid.;;978-4-907764-34-0;;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5333409;"EMG;Apparent Movement;Tactile stimuli;Tactile sense";"Electromyography;Displays;Tactile sensors;Muscles;Motion analysis;Resists;Image recognition;Feature extraction;Arm;Oscillators";;;;10;;13. Nov 09;;;IEEE;IEEE Conferences
On the use of wearable sensors to enhance motion intention detection for a contralaterally controlled FES system;A. F. Ruiz-Olaya;Bioengineering Group, Antonio Nariño University, London, Colombia;2016 IEEE 13th International Conference on Wearable and Implantable Body Sensor Networks (BSN);21. Jul 16;2016;;;324;328;During the last years, there has been a relevant progress in motor learning and functional recovery after the occurrence of a brain lesion. Rehabilitation of motor function has been associated to motor learning that occurs during repetitive, frequent and intensive training. Contralaterally controlled functional electrical stimulation (CCFES) is a new therapy designed to improve the recovery of paretic limbs after stroke, that could provide repetitive training-based therapies and has been developed to control the upper and lower limbs movements in response to user's intentionality. Electromyography (EMG) signals reflect directly the human motion intention, so it can be used as input information to control a CCFES system. Implementation of the EMG-based pattern recognition is not easy to be accomplished due to some difficulties, among them that the activity level of each muscle for a certain motion is different between each person. Inertial Measurement Units (IMU) is a kind of wearable sensors that are used to gather movement data. IMUs could provide valuable kinematic information in an EMG-based pattern recognition process to improve classification. This work describes the use of IMUS to improve detecting motion intention from EMG data. Results shows that myoelectric algorithm using information from IMUs was better in classification of seven movements at the upper-limb level that algorithm using only EMG data.;2376-8894;978-1-5090-3087-3;10.1109/BSN.2016.7516282;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516282;;"Electromyography;Muscles;Classification algorithms;Pattern recognition;Feature extraction;Medical treatment;Sensors";;1;1;16;IEEE;21. Jul 16;;;IEEE;IEEE Conferences
Impact of feature extraction techniques on classification accuracy for EMG based ankle joint movements;"M. S. Al-Quraishi; A. J. Ishak; S. A. Ahmad; M. K. Hasan";"Electrical and Electronic Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Electrical and Electronic Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Electrical and Electronic Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Electrical and Electronic Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia";2015 10th Asian Control Conference (ASCC);10. Sep 15;2015;;;1;5;"EMG based control becomes the core of the pros-theses, orthoses and rehabilitation devices in the recent research. Though the difficulties of using EMG as a control signal due to the complexity nature of this signal, the researchers employed the pattern recognition technique to overcome this problem. The EMG pattern recognition mainly consists of four stages; signal detection and preprocessing feature extraction, dimensionality reduction and classification. However, the success of any pattern recognition technique depends on the feature extraction and dimensionality reduction stages. In this paper time domain (TD) with 6th order auto regressive (AR) coefficients features and three techniques of dimensionality reduction; principal component analysis (PCA), uncorrelated linear discriminant analysis (ULDA) and fuzzy neighborhood preserving analysis with QR decomposition (FNPA-QR) were demonstrated. The EMG data were recorded from the below knee muscles of ten intact-subjects. Four ankle joint movements are classified using three classifiers; LDA, k-NN and MLP. The results show the superiority of TD&6th AR with FNPA-QR and k-NN combination with (96.20% ± 4.1) accuracy.";;978-1-4799-7862-5;10.1109/ASCC.2015.7244844;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7244844;;"Feature extraction;Electromyography;Joints;Muscles;Electrodes;Principal component analysis;Accuracy";;11;;18;IEEE;10. Sep 15;;;IEEE;IEEE Conferences
Comparison of surface and intramuscular EMG pattern recognition for simultaneous wrist/hand motion classification;"L. H. Smith; L. J. Hargrove";"Department of Biomedical Engineering, Northwestern University, Chicago, IL, USA; Department of Biomedical Engineering, Northwestern University, Chicago, IL, USA";2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC);26. Sep 13;2013;;;4223;4226;"The simultaneous control of multiple degrees of freedom (DOFs) is important for the intuitive, life-like control of artificial limbs. The objective of this study was to determine whether the use of intramuscular electromyogram (EMG) improved pattern classification of simultaneous wrist/hand movements compared to surface EMG. Two pattern classification methods were used in this analysis, and were trained to predict 1-DOF and 2-DOF movements involving wrist rotation, wrist flexion/extension, and hand open/close. The classification methods used were (1) a single pattern classifier discriminating between 1-DOF and 2-DOF motion classes, and (2) a parallel set of three classifiers to predict the activity of each of the 3 DOFs. We demonstrate that in this combined wrist/hand classification task, the use of intramuscular EMG significantly decreases classification error compared to surface EMG for the parallel configuration (p<;0.01), but not for the single classifier. We also show that the use of intramuscular EMG mitigates the increase in errors produced when the parallel classifier method is trained without 2-DOF motion class data.";1558-4615;978-1-4577-0216-7;10.1109/EMBC.2013.6610477;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610477;;"Electromyography;Wrist;Electrodes;Pattern recognition;Muscles;Educational institutions;Pattern classification";"Artificial Limbs;Electromyography;Hand;Humans;Injections, Intramuscular;Movement;Pattern Recognition, Automated;Reproducibility of Results;Rotation;Signal Processing, Computer-Assisted;Wrist";46;;18;IEEE;26. Sep 13;;;IEEE;IEEE Conferences
Applications of Motion Analysis System Measuring Micro-Movements in Three-Dimensional Space;"H. Liu; Y. Zhao; S. Evans; C. Holt";"Surrey International Institute, Dalian, China; Surrey International Institute, Dalian, China; School of Engineering, Cardiff University, Cardiff, UK; School of Engineering, Cardiff University, Cardiff, UK";2009 3rd International Conference on Bioinformatics and Biomedical Engineering;14. Jul 09;2009;;;1;4;This paper presents the development of a novel application using motion analysis techniques to measure tooth movement in 3D space. Measuring the relative displacements of teeth under load allows a greater understanding of the mechanical properties of the periodontal ligament (PDL). Two marker clusters were fixed onto the measured tooth and the reference tooth via orthodontic brackets and movements were captured using two 60 Hz infrared motion camera units. Software was developed to calculate 3D tooth displacements and rotations. The system accuracy (i.e. percentage of maximum absolute error in range/measurement range), in the 20-200 mum ranges, was plusmn1.17%, plusmn1.67% and plusmn1.31% for the diamond markers in x, y and z directions, while the system accuracy for the spherical markers was plusmn1.81%, plusmn2.37% and plusmn1.39%. The system repeatability (i.e. maximum standard deviation in the measurement range) measured under the different days, light intensity and temperatures for five times, carried out step up and then step down measurements for the same step size, was plusmn1.7 mum, plusmn2.3 mum and plusmn1.9 mum for the diamond markers, and plusmn2.6 mum, plusmn3.9 mum and plusmn1.9 mum for the spherical markers in x, y and z directions, respectively. The system resolution was 10 mum. These results demonstrate that the motion analysis system can measure micro-displacement accurately such as tooth displacement and could potentially be useful in many other applications.;2151-7622;978-1-4244-2901-1;10.1109/ICBBE.2009.5162401;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5162401;;"Motion analysis;Motion measurement;Extraterrestrial measurements;Teeth;Size measurement;Displacement measurement;Mechanical variables measurement;Mechanical factors;Ligaments;Page description languages";;;;15;IEEE;14. Jul 09;;;IEEE;IEEE Conferences
A Fault-Tolerant Algorithm to Enhance Generalization of EMG-based Pattern Recognition for Lower Limb Movement;"Q. Sun; X. Zhang; H. Li; R. Dong; Y. Wang; G. Liu";"Shaanxi Key Laboratory of Intelligent Robot, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Shaanxi Key Laboratory of Intelligent Robot, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, China; School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, China; School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, China; School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, China";2020 10th Institute of Electrical and Electronics Engineers International Conference on Cyber Technology in Automation, Control, and Intelligent Systems (CYBER);11 Dec 2020;2020;;;332;337;Real-time application of exoskeleton remains a challenge due to the limited stability of electromyogram (EMG) collected on lower limb. To enhance generalization of EMG based pattern recognition (PR), this work proposed a novel fault-tolerant algorithm based on conventional liner discriminant analysis (LDA). Based on two patterns of EMG collection (static data and dynamic data), the most accurate feature set was first selected in static data to guarantee basic performance of LDA. Detections of LDA formed a decision stream, and provided later analysis with information of movement and muscle activity of lower limb. A BP classifier was trained based on the decision stream and features set to recover misclassification of LDA when interference occurred. Both LDA and BP were trained on static data. Dynamic data were set to imitate instability of EMG in realistic application such as different force intensity and muscle fatigue. The proposed algorithm was tested on a EMG based PR system. 4 able-bodied subjects participated in the experiment. The enhancement in classification accuracy ranged from 7.52% to 13.94% over subjects compared with unoptimized system. After EMG channels reduced, this enhancement ranged from 9.01% to 27.35%, which significantly improved classification performance under limited condition. These results suggested that the proposed algorithm yield excellent performance in improving the generalization of EMG based PR.;2379-7711;978-1-7281-9010-5;10.1109/CYBER50695.2020.9279159;"National Key R&D Plan of China(grant numbers:2017YFB1300505); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9279159;"electromyography;pattern recognition;lower limb;generalization";"Electromyography;Classification algorithms;Muscles;Electrodes;Heuristic algorithms;Feature extraction;Exoskeletons";;4;;22;IEEE;11 Dec 2020;;;IEEE;IEEE Conferences
Adaptation of cluster analysis methods to optimize a biomechanical motion model of humans in a nursing bed;"J. Demmer; A. Kitzig; G. Stockmanns; E. Naroska; R. Viga; A. Grabmaier";"Faculty of Electrical Engineering and Computer Science, Hochschule Niederrhein University of Applied Science, Krefeld, Germany; Faculty of Electrical Engineering and Computer Science, Hochschule Niederrhein University of Applied Science, Krefeld, Germany; Faculty of Electrical Engineering and Computer Science, Hochschule Niederrhein University of Applied Science, Krefeld, Germany; Faculty of Electrical Engineering and Computer Science, Hochschule Niederrhein University of Applied Science, Krefeld, Germany; Department of Electronic Components and Circuits EBS, University of Duisburg-Essen, Duisburg, Germany; Department EBS, Fraunhofer IMS and University of Duisburg-Essen, Duisburg, Germany";2020 28th European Signal Processing Conference (EUSIPCO);18 Dec 2020;2021;;;1323;1327;The paper considers the optimization of a Hidden-Markov Model (HMM) based method for the generation of averaged motion sequences. To create averaged motion sequences, motion sequences of different test persons were originally recorded with a motion capture system (MoCap system) and then averaged using an HMM approach. The resulting averaged data sets, however, partly showed serious motion artifacts and uncoordinated intermediate movements, especially in the extremities. The aim of this work was to combine only movements with similar courses in the extremities by a suitable cluster analysis. For each test person, model body descriptions of 21 body elements are available, each of which is represented in three-dimensional time series. For optimization, the MoCap data are first compared using time warp edit distance (TWED) and clustered using an agglomerative hierarchical procedure. Finally, the data of the resulting clusters are used to generate new averaged motion sequences using the HMM approach. The resulting averaged data can be used, for example, in a simulation in a multilevel biomechanical model.;2076-1465;978-9-0827-9705-3;10.23919/Eusipco47968.2020.9287503;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9287503;"Clusteranalysis;model driven development;biomechanical motion model;averaging motion pattern;TWED";"Biomechanics;Adaptation models;Biological system modeling;Hidden Markov models;Data models;Optimization;Extremities";;;;13;;18 Dec 2020;;;IEEE;IEEE Conferences
Characteristic extraction of EMG with the apparent movement;"Young-il Park; Koji Kawahara; M. Uchida";"Graduate of Electro-Communications, University of Electro-Communications, Tokyo, Japan; Graduate of Electro-Communications, University of Electro-Communications, Tokyo, Japan; Department of Electro Engineering, University of Electro-Communications, Tokyo, Japan";2008 SICE Annual Conference;21 Oct 2008;2008;;;2723;2726;In this research, we pay attention to a tactile sense as substitution for sense organs when human lost a certain sense. Therefore we think that is effective to use an apparent movement to communicate by a tactile sense about something. It is necessary to measure it objective and quantitative on using apparent movement because the apparent movement is a subjective thing. It extracts a characteristic of vital reaction with the apparent movement by EMG, this paper. We divide it into every each presentation stimulation and perform t-test by a combination of the presentation stimulation. As a result, we understood the thing that was not a little different in a t-test result by a combination of each presentation stimulation. We were able to get the result that resembled a psychological measurement when we did cluster analysis of a result of this t-test. Because this result is a result from one subject, it will be necessary to increase subjects in future.;;978-4-907764-30-2;10.1109/SICE.2008.4655128;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4655128;"EMG;Apparent Movement;Tactile stimuli;Tactile sense";;;;;10;;21 Oct 2008;;;IEEE;IEEE Conferences
Improving EMG based classification of basic hand movements using EMD;"C. Sapsanis; G. Georgoulas; A. Tzes; D. Lymberopoulos";"Department of Electrical and Computer Engineering, University of Patras, Greece; KIC Laboratory, Department of Informatics and Telecommunications Technology, Technological Educational Institute of Epirus, Greece; Department of Electrical and Computer Engineering, University of Patras, Greece; Department of Electrical and Computer Engineering, University of Patras, Greece";2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC);26. Sep 13;2013;;;5754;5757;This paper presents a pattern recognition approach for the identification of basic hand movements using surface electromyographic (EMG) data. The EMG signal is decomposed using Empirical Mode Decomposition (EMD) into Intrinsic Mode Functions (IMFs) and subsequently a feature extraction stage takes place. Various combinations of feature subsets are tested using a simple linear classifier for the detection task. Our results suggest that the use of EMD can increase the discrimination ability of the conventional feature sets extracted from the raw EMG signal.;1558-4615;978-1-4577-0216-7;10.1109/EMBC.2013.6610858;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610858;"Biomedical signal analysis;Empirical Mode Decomposition (EMD);pattern classification;electromyography (EMG)";"Electromyography;Feature extraction;Electrodes;Pattern recognition;Empirical mode decomposition;Muscles;Biosensors";"Algorithms;Electromyography;Female;Hand;Humans;Male;Movement;Pattern Recognition, Automated;Robotics;Young Adult";99;;19;IEEE;26. Sep 13;;;IEEE;IEEE Conferences
